,이름,학번,소속,학년,시험1,시험2,시험3,시험4,시험5,시험6
0,조준혁,20257329,일본학과,3,61,46,54,66,64,52
1,이중석,20287434,심리학과,2,83,79,46,63,88,65
2,정은영,20297500,경제학과,2,57,50,58,60,64,60
3,조동욱,20277510,경제학과,3,52,51,38,53,65,45
4,김승헌,20317424,경영학과,3,83,81,66,74,78,79
5,정궁윤,20299281,생명과학과,3,96,62,69,67,79,81
6,김민훈,20317448,의과학융합전공,3,77,51,50,69,53,53
7,김동우,20267372,소프트웨어융합대학,1,58,39,40,66,60,53
8,김동석,20277452,소프트웨어융합대학,1,97,73,68,58,75,55
9,윤궁기,20267389,소프트웨어융합대학,1,43,58,40,51,57,59
10,류준은,20327362,소프트웨어융합대학,1,97,76,60,59,76,65
11,김원하,20277501,소프트웨어융합대학,1,88,81,77,64,69,79
12,홍현주,20297449,소프트웨어융합대학,1,71,57,45,71,67,47
13,장강훈,20277483,소프트웨어융합대학,1,100,74,63,64,78,65
14,정수영,20287395,빅데이터전공,2,66,64,52,46,65,55
15,송준진,20287486,스마트IoT전공,2,97,73,64,64,63,78
16,이수진,20267437,빅데이터전공,2,64,47,41,49,54,66
17,홍동욱,20307389,스마트IoT전공,2,77,74,60,58,87,72
18,김찬훈,20308899,콘텐츠IT전공,2,99,80,65,68,69,67
19,장궁우,20307450,스마트IoT전공,2,90,71,78,55,75,89
20,정여우,20327396,스마트IoT전공,2,54,42,61,42,60,75
21,강준은,20327404,빅데이터전공,2,83,65,76,64,83,69
22,홍성윤,20257438,빅데이터전공,2,99,74,73,72,72,88
23,강아윤,20305027,빅데이터전공,3,96,71,79,76,64,85
24,조지훈,20267539,빅데이터전공,3,80,76,68,53,70,85
25,이현영,20257359,스마트IoT전공,3,54,60,56,39,74,63
26,안승완,20317479,빅데이터전공,3,41,43,36,58,46,48
27,이민주,20297567,콘텐츠IT전공,3,68,57,49,59,51,56
28,남소원,20295809,빅데이터전공,3,98,82,56,69,82,68
29,임수은,20277497,콘텐츠IT전공,3,97,66,66,66,76,62
30,함여성,20255757,빅데이터전공,3,69,50,63,73,73,55
31,윤준찬,20297398,빅데이터전공,3,93,76,77,58,69,84
32,박현윤,20277435,빅데이터전공,3,67,43,55,63,66,59
33,김수진,20317328,ICT융합전공,3,89,72,62,61,71,59
34,지영범,20275082,컴퓨터공학과,2,80,62,50,52,73,46
35,황민훈,20279379,전자공학과,2,78,61,65,59,68,54
36,안동범,20287476,전자공학과,3,50,47,50,41,49,48
37,함재윤,20269404,전자공학과,4,50,48,35,51,60,60
